source_file	organism_name
protozoa.txt	Porcisia hertigi
protozoa.txt	Leishmania sp. Namibia
protozoa.txt	Leishmania sp. Ghana 2012 LV757
protozoa.txt	Porospora cf. gigantea B
protozoa.txt	Porospora cf. gigantea A
fungi.txt	Rhizomucor pusillus
fungi.txt	Schizosaccharomyces pombe
fungi.txt	Pichia kudriavzevii
fungi.txt	Torulaspora delbrueckii
fungi.txt	Yarrowia lipolytica
fungi.txt	Zygosaccharomyces rouxii
fungi.txt	Dioszegia hungarica
fungi.txt	Kockovaella imperatae
fungi.txt	Brettanomyces bruxellensis
fungi.txt	Bipolaris maydis
fungi.txt	Plenodomus lingam
fungi.txt	Aspergillus flavus
fungi.txt	Aspergillus niger
fungi.txt	Aspergillus tubingensis
fungi.txt	Penicillium brevicompactum
fungi.txt	Penicillium chrysogenum
fungi.txt	Penicillium citrinum
fungi.txt	Penicillium griseofulvum
fungi.txt	Penicillium roqueforti
fungi.txt	Penicillium canescens
fungi.txt	Thermoascus crustaceus
fungi.txt	Sordaria macrospora
fungi.txt	Filobasidium floriforme
fungi.txt	Mycosarcoma maydis
fungi.txt	Pleurotus ostreatus
fungi.txt	Lentinula edodes
fungi.txt	Ascochyta rabiei
fungi.txt	Colletotrichum truncatum
fungi.txt	Nakaseomyces glabratus
fungi.txt	Candida parapsilosis
fungi.txt	Diutina rugosa
fungi.txt	Fulvia fulva
fungi.txt	Thermomyces lanuginosus
fungi.txt	Alternaria alternata
fungi.txt	Vairimorpha necatrix
fungi.txt	Brettanomyces nanus
fungi.txt	Naumovozyma castellii
fungi.txt	Saccharomyces paradoxus
fungi.txt	Penicillium expansum
fungi.txt	Colletotrichum acutatum
fungi.txt	Priceomyces carsonii
fungi.txt	Thermomyces dupontii
fungi.txt	Kluyveromyces lactis
fungi.txt	Penicillium vulpinum
fungi.txt	Mrakia frigida
fungi.txt	Mucor mucedo
fungi.txt	Purpureocillium lilacinum
fungi.txt	Colletotrichum destructivum
